,total_count,neighborhood
318,1,Spring Garden
319,1,Larimer
320,1,Hazelwood
321,1,
322,1,Lincoln-Lemington-Belmar
323,1,Carrick
324,1,Marshall-Shadeland
325,1,Homewood South
326,1,Homewood South
327,1,
328,1,Perry South
329,2,Perry South
330,1,East Liberty
331,1,Homewood South
332,1,Homewood North
333,1,Troy Hill
334,1,
335,1,Bluff
336,1,Homewood West
337,1,Homewood North
338,1,Spring Hill-City View
339,1,Upper Hill
340,1,
341,1,
342,1,Homewood North
343,1,Stanton Heights
344,1,Knoxville
345,1,Elliott
346,1,Marshall-Shadeland
347,1,Terrace Village
348,1,East Liberty
349,3,Crafton Heights
350,1,Garfield
351,1,Perry South
352,1,South Side Flats
353,1,Larimer
354,1,
355,1,Brighton Heights
356,1,East Liberty
357,2,Marshall-Shadeland
358,1,East Allegheny
359,1,
360,1,Homewood North
361,1,Hazelwood
362,2,Arlington Heights
363,1,Point Breeze
364,5,East Hills
365,1,Hazelwood
366,1,Westwood
367,1,Hazelwood
368,1,Homewood South
369,1,Homewood North
370,1,Lincoln-Lemington-Belmar
371,1,Beltzhoover
372,1,
373,1,Allegheny Center
374,1,Glen Hazel
375,1,Larimer
376,2,Squirrel Hill South
377,1,
378,1,Homewood North
379,1,
380,1,California-Kirkbride
381,1,Marshall-Shadeland
382,1,Homewood South
383,1,Central Northside
384,1,
385,1,South Side Flats
386,1,Marshall-Shadeland
387,1,Crafton Heights
388,11,
389,1,Middle Hill
390,1,
391,1,Hazelwood
392,1,Central Northside
393,1,Manchester
394,1,Mount Washington
395,2,
396,1,Bedford Dwellings
397,1,Homewood North
398,1,Crafton Heights
399,1,Homewood South
400,1,Allegheny Center
401,1,Central Business District
402,1,South Side Flats
403,1,Garfield
404,1,Crawford-Roberts
405,1,Perry South
406,1,California-Kirkbride
407,1,
408,1,Perry North
409,1,Brighton Heights
410,2,Marshall-Shadeland
411,1,Spring Hill-City View
412,1,
413,1,Hazelwood
414,1,
415,1,Sheraden
416,1,Terrace Village
417,1,Perry South
418,1,
419,1,Homewood North
420,1,
421,1,Bluff
422,1,East Hills
423,1,Carrick
424,1,Brookline
425,1,Highland Park
426,1,Carrick
427,1,Sheraden
428,1,West Oakland
429,1,Carrick
430,1,Central Business District
431,3,South Side Slopes
432,1,Central Northside
433,1,Perry South
434,1,Fineview
435,1,Homewood West
436,1,Homewood South
437,2,South Side Flats
438,1,Greenfield
439,1,Beechview
440,1,East Liberty
441,1,Brookline
442,1,Bluff
443,1,Homewood South
444,1,
445,1,Strip District
446,1,Garfield
447,1,Squirrel Hill South
448,1,Homewood South
449,1,Marshall-Shadeland
450,3,Squirrel Hill North
451,1,Hazelwood
452,1,Mount Washington
453,1,Middle Hill
454,1,Lincoln-Lemington-Belmar
455,2,Lower Lawrenceville
456,1,Upper Hill
457,1,East Hills
458,1,Morningside
459,3,
460,1,Overbrook
461,1,Arlington Heights
462,2,West Oakland
463,1,Sheraden
464,1,
465,1,Brookline
466,1,Central Business District
467,1,Knoxville
468,2,Bloomfield
469,1,Banksville
470,1,Homewood North
471,16,Morningside
472,1,
473,1,Allentown
474,1,Carrick
475,1,Upper Hill
476,1,Spring Hill-City View
477,1,Glen Hazel
478,3,Brighton Heights
479,1,
480,1,
481,1,Crafton Heights
482,1,Homewood South
483,1,Glen Hazel
484,2,Troy Hill
485,1,Terrace Village
486,1,Lincoln-Lemington-Belmar
487,1,
488,1,
489,1,
490,1,Larimer
491,1,Mount Washington
492,1,Spring Hill-City View
493,1,Shadyside
494,1,Knoxville
495,1,Beechview
496,2,Lincoln-Lemington-Belmar
497,1,
498,1,South Side Flats
499,1,Homewood South
500,1,East Allegheny
501,1,Marshall-Shadeland
502,1,Lincoln-Lemington-Belmar
503,1,
504,1,Central Northside
505,1,South Side Flats
506,1,Greenfield
507,1,Homewood West
508,1,Homewood North
509,1,Bluff
510,1,Beltzhoover
511,1,East Allegheny
512,1,Homewood South
513,1,Point Breeze
514,1,
515,1,Marshall-Shadeland
516,1,Sheraden
517,2,Beechview
518,2,Homewood North
519,1,Homewood West
520,1,Homewood West
521,1,Homewood South
522,1,Crafton Heights
523,1,Larimer
524,1,Central Northside
525,1,South Side Flats
526,19,Lincoln-Lemington-Belmar
527,1,Beltzhoover
528,1,Larimer
529,1,Bloomfield
530,1,Central Oakland
531,1,Knoxville
532,1,Central Lawrenceville
533,1,Garfield
534,1,East Hills
535,1,Stanton Heights
536,1,Mount Washington
537,1,
538,1,
539,1,Central Lawrenceville
540,2,Lincoln-Lemington-Belmar
541,2,Larimer
542,1,South Side Slopes
543,1,Allentown
544,1,Central Business District
545,2,Sheraden
546,1,Manchester
547,1,Hazelwood
548,1,Brighton Heights
549,2,
550,2,South Side Flats
551,1,
552,1,Central Business District
553,1,Fineview
554,1,Mount Washington
555,2,Northview Heights
556,1,South Side Slopes
557,1,Northview Heights
558,1,
559,1,Larimer
560,1,Homewood West
561,1,
562,1,Homewood South
563,1,Homewood West
564,1,Allentown
565,2,Larimer
566,1,Homewood South
567,1,
568,2,Carrick
569,1,
570,1,Sheraden
571,1,
572,1,Mount Washington
573,1,
574,1,
575,1,Homewood North
576,1,Carrick
577,5,Brookline
578,1,
579,1,Garfield
580,5,Arlington
581,2,Central Business District
582,1,Spring Hill-City View
583,2,Homewood South
584,1,Allegheny West
585,1,Lincoln-Lemington-Belmar
586,2,Marshall-Shadeland
587,1,Elliott
588,1,Chateau
589,1,
590,1,Homewood South
591,1,Central Business District
592,1,Allentown
593,1,Homewood North
594,1,Crafton Heights
595,6,Allentown
596,5,
597,1,South Side Slopes
598,3,
599,1,Central Business District
600,1,West Oakland
601,2,
602,1,Central Business District
603,1,Central Business District
604,1,Larimer
605,2,Bedford Dwellings
606,1,Homewood South
607,1,
608,1,Fineview
609,1,Bedford Dwellings
610,1,Perry South
611,3,Carrick
612,1,South Side Flats
613,1,
614,1,Mount Washington
615,1,Central Northside
616,1,
617,1,Middle Hill
618,1,Brighton Heights
619,1,Garfield
620,3,Brighton Heights
621,1,Homewood South
622,1,Carrick
623,1,Upper Hill
624,1,
625,2,Brookline
626,1,South Side Flats
627,1,Middle Hill
628,1,
629,1,Homewood South
630,1,Central Business District
631,1,East Liberty
632,1,Marshall-Shadeland
633,1,East Liberty
634,3,Crafton Heights
635,1,East Hills
636,1,Overbrook
637,1,Homewood West
638,1,
639,4,Central Northside
640,1,Hazelwood
641,1,Homewood North
642,2,
643,1,Beltzhoover
644,1,Knoxville
645,1,Beechview
646,1,
