,total_count,neighborhood
1369,1,Central Business District
1370,2,Spring Hill-City View
1371,1,Central Northside
1372,1,Allentown
1373,1,Manchester
1374,3,Homewood South
1375,1,Perry South
1376,2,Garfield
1377,1,
1378,1,Banksville
1379,1,Lincoln-Lemington-Belmar
1380,1,Middle Hill
1381,1,Brookline
1382,1,
1383,1,Mt. Oliver
1384,1,Central Business District
1385,2,Lincoln-Lemington-Belmar
1386,1,Bloomfield
1387,1,Manchester
1388,1,Hazelwood
1389,1,South Side Flats
1390,1,Perry South
1391,1,Central Business District
1392,3,Mount Washington
1393,1,Lincoln-Lemington-Belmar
1394,1,
1395,1,East Hills
1396,1,Perry North
1397,3,Beechview
1398,1,Mount Washington
1399,1,South Side Flats
1400,1,Garfield
1401,1,Perry South
1402,1,East Liberty
1403,1,Crafton Heights
1404,1,North Shore
1405,1,Squirrel Hill North
1406,1,Larimer
1407,1,Larimer
1408,1,
1409,1,Homewood North
1410,1,Allentown
1411,1,Bloomfield
1412,1,Homewood South
1413,1,
1414,1,Lincoln-Lemington-Belmar
1415,1,Windgap
1416,1,Homewood West
1417,2,Lincoln-Lemington-Belmar
1418,1,Central Northside
1419,1,Crawford-Roberts
1420,1,Perry North
1421,1,East Allegheny
1422,1,Fineview
1423,1,Elliott
1424,2,
1425,1,East Allegheny
1426,1,St. Clair
1427,1,South Side Slopes
1428,1,
1429,1,Central Business District
1430,1,Carrick
1431,1,Larimer
1432,1,Bedford Dwellings
1433,2,
1434,1,Spring Hill-City View
1435,1,Hazelwood
1436,2,
1437,1,Hazelwood
1438,2,
1439,1,Bedford Dwellings
1440,1,
1441,2,Overbrook
1442,7,Marshall-Shadeland
1443,1,Bedford Dwellings
1444,1,Manchester
1445,1,Homewood South
1446,4,Homewood North
1447,1,
1448,1,Greenfield
1449,2,California-Kirkbride
1450,1,South Side Flats
1451,2,
1452,1,Duquesne Heights
1453,1,Larimer
1454,1,
1455,1,South Side Flats
1456,1,Central Business District
1457,1,Homewood South
1458,1,Sheraden
1459,1,Lincoln-Lemington-Belmar
1460,1,St. Clair
1461,1,California-Kirkbride
1462,1,Spring Garden
1463,1,Regent Square
1464,1,South Side Flats
1465,2,Homewood West
1466,1,East Allegheny
1467,1,South Side Flats
1468,1,Lincoln-Lemington-Belmar
1469,1,
1470,1,Larimer
1471,1,Allentown
1472,1,
1473,1,Brookline
1474,5,Central Business District
1475,1,Marshall-Shadeland
1476,1,Mount Washington
1477,1,Terrace Village
1478,1,
1479,1,Marshall-Shadeland
1480,1,Hazelwood
1481,1,Larimer
1482,1,Allentown
1483,1,Bloomfield
1484,2,Troy Hill
1485,1,Homewood South
1486,1,Chartiers City
1487,1,Sheraden
1488,2,Larimer
1489,1,Larimer
1490,1,Larimer
1491,1,Larimer
1492,3,
1493,1,Central Business District
1494,1,Middle Hill
1495,4,
1496,1,Mount Washington
1497,4,
1498,1,Upper Hill
1499,1,Garfield
1500,1,Marshall-Shadeland
1501,1,Garfield
1502,1,
1503,1,South Side Slopes
1504,1,
1505,1,Middle Hill
1506,7,Bloomfield
1507,1,
1508,1,East Allegheny
1509,1,
1510,1,North Oakland
1511,1,Bedford Dwellings
1512,1,Central Business District
1513,1,Lincoln-Lemington-Belmar
1514,1,Bedford Dwellings
1515,3,Allegheny Center
1516,1,Knoxville
1517,6,
1518,1,Homewood South
1519,1,Central Business District
1520,1,Homewood South
1521,1,Overbrook
1522,6,
1523,1,
1524,1,Garfield
1525,2,Garfield
1526,1,Garfield
1527,1,South Side Flats
1528,1,Bedford Dwellings
1529,2,Beechview
1530,1,Central Oakland
1531,1,South Side Flats
1532,1,Larimer
1533,1,Beechview
1534,1,Sheraden
1535,1,South Side Flats
1536,1,Northview Heights
1537,1,Crawford-Roberts
1538,1,Elliott
1539,3,Larimer
1540,1,Fineview
1541,1,East Hills
1542,1,Hazelwood
1543,1,Perry South
1544,1,Central Lawrenceville
1545,1,Beltzhoover
1546,1,
1547,1,Knoxville
1548,1,Larimer
1549,1,Sheraden
1550,1,Homewood South
1551,1,East Allegheny
1552,1,Bedford Dwellings
1553,1,
1554,1,
1555,1,Upper Hill
1556,1,Middle Hill
1557,1,Bedford Dwellings
1558,1,Overbrook
1559,1,Sheraden
1560,1,Sheraden
1561,1,Manchester
1562,1,Garfield
1563,2,Middle Hill
1564,1,Fineview
1565,1,Central Northside
1566,1,Fineview
1567,1,Middle Hill
1568,1,Manchester
1569,1,West Oakland
1570,1,Mount Washington
1571,1,Mount Washington
1572,1,Allegheny Center
1573,1,Sheraden
1574,1,Homewood South
1575,1,Marshall-Shadeland
1576,1,Middle Hill
1577,1,Carrick
1578,1,
1579,2,Bluff
1580,1,Upper Hill
1581,1,
1582,1,North Oakland
1583,1,South Side Slopes
1584,1,
1585,1,
1586,1,
1587,1,
1588,3,St. Clair
1589,2,Homewood South
1590,1,South Side Flats
1591,2,East Allegheny
1592,1,Beechview
1593,1,Central Business District
1594,1,South Side Flats
1595,1,Lincoln-Lemington-Belmar
1596,1,Sheraden
1597,1,Point Breeze
1598,1,East Liberty
1599,1,Sheraden
1600,1,Central Northside
1601,1,Brighton Heights
1602,1,Allentown
1603,1,
1604,1,Beltzhoover
1605,1,
1606,3,Allentown
1607,1,
1608,2,Manchester
1609,1,East Hills
1610,2,
1611,1,Hazelwood
1612,1,
1613,2,
1614,1,Middle Hill
1615,2,Brighton Heights
1616,2,Homewood South
1617,1,Crawford-Roberts
1618,1,Hazelwood
1619,1,
1620,1,Homewood South
1621,1,
1622,1,East Hills
1623,1,
1624,1,Beechview
1625,1,East Allegheny
1626,1,South Side Flats
1627,1,
1628,1,Troy Hill
1629,1,South Side Flats
1630,1,Homewood South
1631,1,South Side Slopes
1632,1,Central Business District
1633,1,Knoxville
1634,1,Bluff
1635,1,South Side Flats
1636,1,Allentown
1637,1,South Side Flats
1638,1,Larimer
1639,1,Middle Hill
1640,2,Bedford Dwellings
1641,1,
1642,1,South Side Flats
1643,2,Homewood South
1644,1,
1645,1,
1646,1,Middle Hill
1647,1,
1648,1,South Side Flats
1649,3,Garfield
1650,1,Knoxville
1651,1,Friendship
1652,1,South Shore
1653,1,Middle Hill
1654,1,Perry North
1655,1,Troy Hill
1656,1,Troy Hill
1657,1,Knoxville
1658,1,Spring Hill-City View
1659,1,Knoxville
1660,1,Windgap
1661,1,Central Business District
1662,1,Knoxville
1663,2,
1664,1,Mount Washington
1665,1,
1666,2,Spring Hill-City View
1667,1,
1668,1,Banksville
1669,3,Marshall-Shadeland
1670,2,
1671,1,Sheraden
1672,1,Bedford Dwellings
1673,1,Middle Hill
1674,2,Glen Hazel
1675,1,Homewood South
1676,1,Point Breeze North
1677,1,Bluff
1678,1,Bluff
1679,1,West End
1680,1,Bedford Dwellings
1681,1,Knoxville
1682,1,
1683,1,Carrick
1684,1,East Hills
1685,1,Homewood South
1686,1,South Side Flats
1687,1,Brighton Heights
1688,1,Knoxville
1689,1,Central Business District
1690,1,Highland Park
1691,1,East Allegheny
1692,1,Point Breeze
1693,1,Homewood South
1694,1,South Side Flats
1695,1,West Oakland
1696,1,
1697,1,Spring Hill-City View
1698,1,Homewood South
1699,1,
1700,1,Homewood North
1701,1,Homewood South
1702,1,
1703,1,Marshall-Shadeland
1704,1,Allegheny West
1705,1,Carrick
1706,1,
1707,1,Marshall-Shadeland
1708,1,Hazelwood
1709,1,Brighton Heights
1710,1,South Side Flats
1711,2,Beltzhoover
1712,1,South Side Flats
1713,1,Homewood North
1714,1,Allegheny West
1715,1,Fineview
1716,1,Middle Hill
1717,1,Duquesne Heights
1718,1,Bedford Dwellings
1719,1,Perry North
1720,1,South Side Flats
1721,1,
1722,1,Northview Heights
1723,4,Bedford Dwellings
1724,2,Upper Lawrenceville
1725,1,
1726,1,Beechview
1727,1,East Hills
1728,1,
1729,1,Beltzhoover
1730,1,Middle Hill
1731,1,Larimer
1732,1,Hazelwood
1733,1,Lincoln-Lemington-Belmar
1734,1,Larimer
1735,1,Central Business District
1736,1,Spring Hill-City View
1737,1,
1738,1,Homewood West
1739,1,North Oakland
1740,1,
1741,1,Knoxville
1742,2,South Side Flats
1743,1,
1744,1,Perry North
1745,1,
1746,1,Point Breeze
1747,3,Perry South
1748,1,Brookline
1749,1,East Allegheny
1750,1,Sheraden
1751,1,Homewood South
1752,1,Sheraden
1753,1,Overbrook
1754,1,Larimer
1755,1,Bon Air
1756,1,Windgap
1757,3,Brookline
1758,1,Elliott
1759,1,Sheraden
1760,1,Homewood North
1761,2,Lincoln-Lemington-Belmar
1762,2,Point Breeze
1763,1,
1764,8,Homewood South
1765,1,Larimer
1766,1,
1767,1,Chateau
1768,1,Central Business District
1769,1,Garfield
1770,2,Homewood South
1771,1,Homewood South
1772,1,Duquesne Heights
1773,1,Knoxville
1774,1,Larimer
1775,1,East Hills
1776,1,Esplen
1777,2,Homewood North
1778,1,Bloomfield
1779,1,Terrace Village
1780,1,
1781,1,Central Northside
1782,1,Strip District
1783,3,South Side Flats
1784,1,Larimer
1785,1,
1786,1,Larimer
1787,1,Northview Heights
1788,1,Middle Hill
1789,1,
1790,1,Central Oakland
1791,1,
1792,2,Perry North
1793,1,
1794,1,Squirrel Hill South
1795,1,California-Kirkbride
1796,1,East Liberty
1797,1,Hazelwood
1798,4,South Side Flats
1799,1,Arlington
1800,1,Troy Hill
1801,1,Homewood South
1802,1,
1803,1,Hazelwood
1804,1,Homewood South
1805,1,South Side Flats
1806,2,
1807,1,
1808,2,Beechview
1809,3,Troy Hill
1810,1,Marshall-Shadeland
1811,1,Homewood South
1812,1,East Hills
1813,1,Sheraden
1814,2,Crawford-Roberts
1815,2,
1816,1,Sheraden
1817,1,
1818,1,Westwood
1819,1,Glen Hazel
1820,1,Middle Hill
1821,1,Terrace Village
1822,1,Manchester
1823,1,
1824,1,South Shore
1825,1,Middle Hill
1826,1,Larimer
1827,1,Homewood South
1828,1,Beechview
1829,1,Lincoln-Lemington-Belmar
1830,1,Central Northside
1831,1,Perry North
1832,1,Crawford-Roberts
1833,1,South Side Slopes
1834,1,East Hills
1835,1,Larimer
1836,1,Squirrel Hill North
1837,1,Beltzhoover
1838,1,Central Northside
1839,1,Spring Hill-City View
1840,1,Perry South
1841,2,Brookline
1842,1,Sheraden
1843,1,Knoxville
1844,1,Northview Heights
1845,2,East Liberty
1846,1,Homewood South
1847,1,Central Lawrenceville
1848,4,Shadyside
1849,1,Allentown
1850,1,Carrick
1851,1,Stanton Heights
1852,1,Homewood South
1853,1,South Side Flats
1854,2,
1855,1,Middle Hill
1856,1,Central Business District
1857,1,Arlington
1858,1,Arlington
1859,1,East Liberty
1860,1,Bloomfield
1861,1,Upper Lawrenceville
1862,1,Carrick
1863,1,
1864,1,Homewood South
1865,1,
1866,1,East Liberty
1867,1,
1868,1,Hazelwood
1869,1,Homewood South
1870,1,Homewood South
1871,1,Spring Hill-City View
1872,1,Mount Washington
1873,1,Bluff
1874,1,Beltzhoover
1875,1,South Side Flats
1876,2,Larimer
1877,1,Sheraden
1878,1,Lincoln-Lemington-Belmar
1879,1,Strip District
1880,1,Marshall-Shadeland
1881,1,Marshall-Shadeland
1882,1,Squirrel Hill South
1883,1,Mount Washington
1884,2,
1885,1,Mount Washington
1886,1,Garfield
1887,1,East Hills
1888,1,Squirrel Hill South
1889,1,Crawford-Roberts
1890,1,South Side Flats
1891,1,Duquesne Heights
1892,1,Highland Park
1893,1,Arlington
1894,1,Perry South
1895,2,Spring Hill-City View
1896,1,South Side Flats
1897,1,Marshall-Shadeland
1898,1,
1899,1,Garfield
1900,1,
1901,8,Elliott
1902,1,Polish Hill
1903,2,Highland Park
1904,1,Squirrel Hill South
1905,1,Terrace Village
1906,1,Hazelwood
1907,1,Central Lawrenceville
1908,1,Marshall-Shadeland
1909,1,Troy Hill
1910,1,Northview Heights
1911,1,
1912,1,Marshall-Shadeland
1913,1,Hazelwood
1914,1,Crawford-Roberts
1915,1,
1916,3,
1917,1,Manchester
1918,3,Bedford Dwellings
1919,1,Allegheny West
1920,1,
1921,2,Marshall-Shadeland
1922,1,South Side Slopes
1923,1,Bloomfield
1924,1,Homewood South
1925,1,Perry North
1926,1,Mount Washington
1927,1,Homewood South
1928,2,Central Lawrenceville
1929,1,Homewood South
1930,1,Beechview
1931,3,Fineview
1932,1,
1933,1,
1934,1,
1935,1,South Side Flats
1936,1,Arlington Heights
1937,1,Bluff
1938,1,Lincoln-Lemington-Belmar
1939,1,
1940,1,Hays
1941,1,
1942,1,Elliott
1943,1,Hazelwood
1944,1,Garfield
1945,1,Fineview
1946,1,
1947,1,Hays
1948,1,
1949,5,Central Oakland
1950,5,Highland Park
1951,1,Sheraden
1952,1,Upper Hill
1953,4,Allentown
1954,1,Brookline
1955,1,East Hills
1956,1,East Hills
1957,2,Homewood North
1958,1,Homewood South
1959,1,North Oakland
1960,1,Homewood South
1961,5,Carrick
1962,1,
1963,1,Homewood North
1964,3,Carrick
1965,1,Larimer
1966,1,Marshall-Shadeland
1967,1,Carrick
1968,1,
1969,1,Overbrook
1970,1,
1971,1,
1972,1,Greenfield
1973,1,Homewood North
1974,1,
1975,1,Homewood South
1976,2,Lincoln-Lemington-Belmar
1977,1,Homewood North
1978,1,California-Kirkbride
1979,1,
1980,1,Greenfield
1981,1,Marshall-Shadeland
1982,1,Larimer
1983,1,
1984,1,Homewood South
1985,1,Polish Hill
1986,1,South Side Flats
1987,1,South Side Flats
1988,1,
1989,1,West End
1990,1,Chateau
1991,1,Homewood West
1992,1,Larimer
1993,1,Squirrel Hill South
1994,1,Perry South
1995,1,South Side Flats
1996,1,Middle Hill
1997,1,
1998,1,
1999,1,Homewood South
2000,1,
2001,1,Crawford-Roberts
2002,1,Homewood North
2003,2,Fineview
2004,2,Bloomfield
2005,1,
2006,1,Sheraden
2007,1,Chateau
2008,1,Bon Air
2009,1,Bon Air
2010,1,
2011,1,South Side Flats
2012,1,Central Northside
2013,1,East Allegheny
2014,1,
2015,1,
2016,1,Hazelwood
2017,1,Chateau
2018,1,Carrick
2019,2,Carrick
2020,1,
2021,1,Brighton Heights
2022,1,Stanton Heights
2023,1,Homewood West
2024,1,
2025,1,Carrick
2026,1,
2027,1,
2028,1,Marshall-Shadeland
2029,4,Windgap
2030,1,Allentown
2031,1,South Side Flats
2032,1,Shadyside
2033,1,
2034,1,Central Business District
2035,1,Mount Washington
2036,1,Central Business District
2037,1,South Side Flats
2038,1,Allentown
2039,1,East Hills
2040,1,South Side Flats
2041,1,Fairywood
2042,1,
2043,1,
2044,1,Elliott
2045,2,Perry North
2046,1,Shadyside
2047,1,Allegheny Center
2048,1,Lincoln-Lemington-Belmar
2049,1,Homewood South
2050,1,Crawford-Roberts
2051,1,Hazelwood
2052,1,Carrick
2053,1,Highland Park
2054,2,Homewood North
2055,1,Fineview
2056,1,Perry South
2057,1,Homewood South
2058,1,Chartiers City
2059,1,South Side Slopes
2060,2,Fairywood
2061,1,Perry South
2062,1,Homewood West
2063,1,Homewood South
2064,1,East Allegheny
2065,2,Brighton Heights
2066,1,
2067,1,Perry South
2068,1,Lincoln-Lemington-Belmar
2069,1,Arlington
2070,1,Arlington
2071,1,Central Northside
2072,1,Hazelwood
2073,1,
2074,1,Greenfield
2075,1,California-Kirkbride
2076,1,Sheraden
2077,1,Crafton Heights
2078,1,Strip District
2079,1,Bedford Dwellings
2080,1,Glen Hazel
2081,1,Bedford Dwellings
2082,1,Middle Hill
2083,1,
2084,1,
2085,1,Spring Hill-City View
2086,1,
2087,1,
2088,1,Mount Oliver Borough
2089,1,Middle Hill
2090,1,
2091,1,
2092,1,Homewood West
2093,1,
2094,1,East Hills
2095,1,Bedford Dwellings
2096,1,
2097,1,
2098,1,East Hills
2099,1,Marshall-Shadeland
2100,1,Perry South
2101,2,East Hills
2102,1,Homewood North
2103,1,Crawford-Roberts
2104,1,Homewood South
2105,1,Carrick
2106,2,North Oakland
2107,1,Knoxville
2108,1,Sheraden
2109,2,
2110,1,Northview Heights
2111,2,Northview Heights
2112,1,
2113,1,Spring Hill-City View
2114,1,
2115,1,Garfield
2116,1,Bluff
2117,1,Carrick
2118,1,Garfield
2119,1,Knoxville
2120,1,Carrick
2121,4,
2122,1,
2123,1,Shadyside
2124,1,Sheraden
2125,1,East Hills
2126,1,Sheraden
2127,1,Homewood South
2128,1,
2129,1,Bloomfield
2130,1,Bedford Dwellings
2131,1,Lincoln-Lemington-Belmar
2132,1,Homewood North
2133,1,
2134,1,Beltzhoover
2135,1,East Hills
2136,1,Fineview
2137,1,Fineview
2138,1,Perry South
2139,1,
2140,1,Elliott
2141,1,Knoxville
2142,1,Larimer
2143,1,Terrace Village
2144,1,Shadyside
2145,1,Squirrel Hill South
2146,1,Allentown
2147,1,Bedford Dwellings
2148,1,Chateau
2149,1,East Liberty
2150,1,
2151,1,East Liberty
2152,1,
2153,1,Central Northside
2154,1,Lincoln-Lemington-Belmar
2155,1,Allentown
2156,1,Manchester
2157,2,
2158,1,
2159,1,Brighton Heights
2160,1,
2161,1,North Shore
2162,1,Bedford Dwellings
2163,1,Knoxville
2164,2,East Hills
2165,1,Knoxville
2166,1,South Side Flats
2167,2,Garfield
2168,2,
2169,1,Strip District
2170,1,Strip District
2171,1,Mount Washington
2172,3,Greenfield
2173,1,Knoxville
2174,1,East Hills
2175,1,East Liberty
2176,1,South Side Slopes
2177,1,Allentown
2178,2,Beechview
2179,1,South Side Slopes
2180,1,Lincoln-Lemington-Belmar
2181,1,Elliott
2182,1,Mount Washington
2183,1,
2184,1,East Allegheny
2185,1,Chateau
2186,1,Squirrel Hill North
2187,1,
2188,1,Mt. Oliver
2189,1,Troy Hill
2190,1,Crafton Heights
2191,4,Brookline
2192,1,East Liberty
2193,1,Perry South
2194,1,Arlington
2195,1,Mount Washington
2196,1,Carrick
2197,1,Westwood
2198,1,Central Lawrenceville
2199,2,South Side Slopes
2200,1,
2201,1,Middle Hill
2202,1,Brighton Heights
2203,3,Perry North
2204,1,Beechview
2205,1,Arlington
2206,1,Central Business District
2207,1,
2208,1,
2209,1,Middle Hill
2210,1,Marshall-Shadeland
2211,1,Northview Heights
2212,1,Mount Washington
2213,1,East Allegheny
2214,2,East Allegheny
2215,1,Lincoln-Lemington-Belmar
2216,1,Fineview
2217,1,East Liberty
2218,1,Larimer
2219,2,East Hills
2220,1,
2221,1,Point Breeze North
2222,1,Brighton Heights
2223,1,Perry North
2224,1,Spring Hill-City View
2225,1,Larimer
2226,4,East Liberty
2227,1,Allentown
2228,1,
2229,1,
2230,1,Arlington Heights
2231,1,Central Lawrenceville
2232,1,Middle Hill
2233,1,East Hills
2234,1,
2235,1,Central Northside
2236,1,Homewood South
2237,1,Brighton Heights
2238,3,South Side Flats
2239,1,Homewood South
2240,1,Hazelwood
2241,1,Hazelwood
2242,2,Carrick
2243,1,South Side Flats
2244,1,Fineview
2245,1,South Side Flats
2246,2,Allentown
2247,1,Lincoln-Lemington-Belmar
2248,1,Middle Hill
2249,1,Manchester
2250,1,Sheraden
2251,1,Fineview
2252,1,South Side Slopes
2253,2,Highland Park
2254,1,Larimer
2255,1,Carrick
2256,1,Hazelwood
2257,1,Larimer
2258,1,South Side Flats
2259,1,Mount Washington
2260,1,Central Business District
2261,1,Allentown
2262,1,Brighton Heights
2263,1,Brighton Heights
2264,1,Fineview
2265,1,California-Kirkbride
2266,1,
2267,1,Mount Washington
2268,1,South Oakland
2269,1,Bedford Dwellings
2270,1,Troy Hill
2271,1,East Allegheny
2272,2,
2273,1,Beechview
2274,1,Brighton Heights
2275,1,Troy Hill
2276,1,
2277,2,Manchester
2278,1,Garfield
2279,1,Beechview
2280,1,Squirrel Hill North
2281,1,
2282,1,South Side Flats
2283,1,
2284,2,Brookline
2285,1,Mount Washington
2286,1,South Side Slopes
2287,1,North Oakland
2288,1,Beltzhoover
2289,1,Brookline
2290,1,Hazelwood
2291,2,Larimer
2292,1,
2293,1,Knoxville
2294,1,Elliott
2295,1,Lincoln-Lemington-Belmar
2296,1,Bon Air
2297,4,Hazelwood
2298,1,Brighton Heights
2299,2,Garfield
2300,1,Hazelwood
2301,1,Terrace Village
2302,1,
2303,1,South Side Flats
2304,1,
2305,1,Oakwood
2306,1,Bloomfield
2307,1,Lincoln-Lemington-Belmar
2308,1,Crawford-Roberts
2309,1,
2310,1,South Side Flats
2311,1,Homewood South
2312,1,Middle Hill
2313,1,Point Breeze
2314,1,Garfield
2315,1,Elliott
2316,1,Lower Lawrenceville
2317,1,Bluff
2318,1,Knoxville
2319,1,Homewood South
2320,1,Marshall-Shadeland
2321,1,Larimer
2322,1,Larimer
2323,1,Perry South
2324,1,Terrace Village
2325,2,South Side Flats
2326,1,Hazelwood
2327,1,Bedford Dwellings
2328,1,Middle Hill
2329,1,Hazelwood
2330,2,
2331,1,Homewood North
2332,1,Homewood South
2333,1,Hazelwood
2334,1,Sheraden
2335,1,Homewood South
2336,1,Hazelwood
2337,1,
2338,1,Polish Hill
2339,1,Perry South
2340,2,Carrick
2341,2,Central Business District
2342,1,Central Business District
2343,2,Brighton Heights
2344,1,Allegheny Center
2345,2,Allentown
2346,1,California-Kirkbride
2347,1,Fineview
2348,1,Manchester
2349,1,
2350,1,Homewood South
2351,2,Manchester
2352,1,Middle Hill
2353,1,Knoxville
2354,1,Homewood South
2355,1,Strip District
2356,1,South Side Slopes
2357,1,Middle Hill
2358,1,Spring Garden
2359,3,Bon Air
2360,1,
2361,1,Marshall-Shadeland
2362,1,Knoxville
2363,1,Larimer
2364,1,Larimer
2365,1,Perry South
2366,1,Terrace Village
2367,2,South Side Flats
2368,1,Hazelwood
2369,1,Bedford Dwellings
2370,1,Middle Hill
2371,1,Hazelwood
2372,2,
2373,1,Homewood North
2374,1,Homewood South
2375,1,Hazelwood
2376,1,Sheraden
2377,1,Homewood South
2378,1,Hazelwood
2379,1,
2380,1,Polish Hill
2381,1,Perry South
2382,2,Carrick
2383,2,Central Business District
2384,1,Central Business District
2385,2,Brighton Heights
2386,1,Allegheny Center
2387,2,Allentown
2388,1,California-Kirkbride
2389,1,Fineview
2390,1,Manchester
2391,1,
2392,1,Homewood South
2393,2,Manchester
2394,1,Middle Hill
2395,1,Knoxville
2396,1,Homewood South
2397,1,Strip District
2398,1,South Side Slopes
2399,1,Middle Hill
2400,1,Spring Garden
2401,3,Bon Air
2402,1,
2403,1,Marshall-Shadeland
2404,1,Knoxville
2405,1,
2406,1,Marshall-Shadeland
2407,1,Marshall-Shadeland
2408,1,Beltzhoover
2409,1,Perry South
2410,1,Garfield
2411,1,Knoxville
2412,1,Central Business District
2413,1,Hazelwood
2414,1,Brighton Heights
2415,1,Crafton Heights
2416,1,Brighton Heights
2417,29,
2418,3,Lincoln-Lemington-Belmar
2419,1,Garfield
2420,2,Homewood North
2421,1,
2422,2,Carrick
2423,1,Garfield
2424,2,
2425,1,Knoxville
2426,1,Homewood North
2427,2,Fairywood
2428,2,Carrick
2429,1,
2430,1,Northview Heights
2431,2,Sheraden
2432,1,
2433,2,
2434,1,Mount Washington
2435,1,Duquesne Heights
2436,1,North Shore
2437,1,Perry South
2438,1,Larimer
2439,1,Mount Washington
2440,1,Crawford-Roberts
2441,1,
2442,1,East Allegheny
2443,1,
2444,1,Homewood South
2445,1,
2446,1,Homewood South
2447,1,Beechview
2448,1,Central Business District
2449,1,Northview Heights
2450,1,Perry South
2451,1,Bluff
2452,2,Hazelwood
2453,1,Bloomfield
2454,11,Beechview
2455,1,Glen Hazel
2456,1,Larimer
2457,1,Homewood South
2458,1,Marshall-Shadeland
2459,1,Upper Lawrenceville
2460,1,Point Breeze
2461,1,Carrick
2462,1,Spring Hill-City View
2463,2,Central Lawrenceville
2464,1,Perry South
2465,1,Middle Hill
2466,1,Allegheny West
2467,2,Allegheny West
2468,5,
2469,1,Bedford Dwellings
2470,1,Beltzhoover
2471,1,Allegheny West
2472,1,
2473,2,Carrick
2474,1,South Side Slopes
2475,1,Mount Washington
2476,3,Sheraden
2477,1,Hazelwood
2478,1,South Side Flats
2479,4,South Side Flats
2480,1,
2481,1,Homewood North
2482,1,South Side Flats
2483,1,Point Breeze
2484,1,Shadyside
2485,1,East Allegheny
2486,1,
2487,1,Crawford-Roberts
2488,1,
2489,1,Fineview
2490,1,Lower Lawrenceville
2491,1,Lincoln-Lemington-Belmar
2492,1,Brookline
2493,2,Carrick
2494,1,East Allegheny
2495,1,Arlington
2496,2,South Side Flats
2497,1,Middle Hill
2498,1,Middle Hill
2499,1,South Oakland
2500,2,
2501,1,Homewood South
2502,1,Brighton Heights
2503,1,Overbrook
2504,1,Homewood South
2505,1,Northview Heights
2506,1,Sheraden
2507,1,
2508,1,Terrace Village
2509,1,
2510,1,Carrick
2511,1,Homewood South
2512,1,Carrick
2513,1,Garfield
2514,1,Spring Garden
2515,1,Mount Washington
2516,1,South Side Flats
2517,1,Crafton Heights
2518,1,Central Northside
2519,3,Carrick
2520,1,Spring Hill-City View
2521,1,East Liberty
2522,1,Central Business District
2523,1,Homewood North
2524,1,
2525,1,Spring Hill-City View
2526,1,Chateau
2527,1,Squirrel Hill North
2528,1,Mount Washington
2529,1,Homewood South
2530,1,Sheraden
2531,1,
2532,1,South Side Flats
2533,1,Lincoln-Lemington-Belmar
2534,1,Northview Heights
2535,1,Homewood South
2536,1,Elliott
2537,2,Hazelwood
2538,1,Brighton Heights
2539,3,Friendship
2540,1,East Liberty
2541,1,Terrace Village
2542,2,Esplen
2543,1,Marshall-Shadeland
2544,1,
2545,1,Knoxville
2546,1,
2547,1,Westwood
2548,1,Homewood South
2549,1,Knoxville
2550,1,Crawford-Roberts
2551,1,Northview Heights
2552,1,
2553,1,Homewood North
2554,1,Marshall-Shadeland
2555,2,Homewood South
2556,1,Garfield
2557,1,Garfield
2558,1,Perry South
2559,1,Knoxville
2560,1,Carrick
2561,1,Larimer
2562,1,South Side Flats
2563,1,South Oakland
2564,1,Lincoln-Lemington-Belmar
2565,2,Perry South
2566,1,Central Business District
2567,2,Perry South
2568,1,
2569,2,Homewood South
2570,1,Perry South
2571,1,
2572,1,Hazelwood
2573,1,Marshall-Shadeland
2574,1,Perry South
2575,1,
2576,1,Knoxville
2577,1,Central Business District
2578,5,Duquesne Heights
2579,1,Troy Hill
2580,1,Homewood South
2581,1,Perry North
2582,1,Hazelwood
2583,2,Hazelwood
2584,1,Central Northside
2585,1,Larimer
2586,1,Brighton Heights
2587,1,Carrick
2588,1,Larimer
2589,1,Crawford-Roberts
2590,1,Mount Washington
2591,1,Central Lawrenceville
2592,1,Terrace Village
2593,1,Homewood North
2594,1,
2595,1,
2596,1,Fineview
2597,2,Beltzhoover
2598,2,Troy Hill
2599,1,Strip District
2600,1,East Hills
2601,1,Middle Hill
2602,1,California-Kirkbride
2603,1,Mount Washington
2604,1,Perry South
2605,1,Mount Oliver Borough
2606,1,Hazelwood
2607,1,East Allegheny
2608,1,Perry North
2609,2,Perry South
2610,1,Perry South
2611,1,Beechview
2612,1,Perry South
2613,1,Marshall-Shadeland
2614,1,Brighton Heights
2615,1,Perry South
2616,1,Manchester
2617,2,Squirrel Hill South
2618,1,Homewood North
2619,1,Northview Heights
2620,1,Point Breeze
2621,1,Point Breeze
2622,1,Overbrook
2623,1,Central Northside
2624,1,Spring Hill-City View
2625,2,Larimer
2626,1,Carrick
2627,1,Mount Washington
2628,1,South Side Slopes
2629,1,Spring Hill-City View
2630,1,Homewood South
2631,1,Central Business District
2632,1,Homewood North
2633,1,Homewood South
2634,1,Sheraden
2635,1,Garfield
2636,1,Manchester
2637,1,
2638,1,Duquesne Heights
2639,1,Homewood North
2640,1,Homewood South
2641,1,Hazelwood
2642,1,Beechview
2643,1,Point Breeze North
2644,1,
2645,1,Central Business District
2646,1,Marshall-Shadeland
2647,1,Sheraden
2648,1,Point Breeze
